City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
138,ixtapa,90,MX,1583983324,88,20.7,-105.2,75.2,2.24
139,kaitangata,86,NZ,1583983110,81,-46.28,169.85,55.13,17.16
140,clyde river,1,CA,1583983326,74,70.47,-68.59,-23.8,11.41
141,castro verde,24,PT,1583983328,67,37.7,-8.09,60.8,2.24
142,zamostea,100,RO,1583983329,86,47.87,26.2,46.4,4.47
143,zabol,100,AF,1583983330,91,32.25,67.25,31.71,8.46
144,shingu,0,JP,1583983331,35,33.73,135.98,55.4,10.29
145,ponta do sol,20,PT,1583983332,67,32.67,-17.1,57.99,1.12
146,borogontsy,100,RU,1583983333,93,62.67,131.17,-11.58,9.82
147,srandakan,69,ID,1583983214,68,-7.94,110.25,85.6,6.71
148,port blair,40,IN,1583983335,69,11.67,92.75,78.66,5.41
149,verkhnevilyuysk,21,RU,1583983336,90,63.45,120.32,-6.47,9.57
150,bengkulu,14,ID,1583983337,60,-3.8,102.27,88.12,4.9
151,saldanha,65,ZA,1583983058,87,-33.01,17.94,60.8,11.41
152,aykino,100,RU,1583983339,97,62.22,49.99,34.03,9.44
153,ambovombe,0,MG,1583983340,92,-25.17,46.08,68.81,4.34
154,whitianga,22,NZ,1583983342,59,-36.83,175.7,69.46,5.3
155,butaritari,100,KI,1583982920,74,3.07,172.79,80.51,1.32
156,nouakchott,0,MR,1583983309,30,18.09,-15.98,71.6,8.05
157,thinadhoo,100,MV,1583983345,72,0.53,72.93,83.17,13.29
158,kargasok,100,RU,1583983346,99,59.06,80.86,33.4,10.18
159,gamba,88,GA,1583983347,93,-2.65,10.0,75.94,2.77
160,nola,0,IT,1583983348,93,40.92,14.53,55.99,3.36
161,oga,21,IT,1583983350,100,46.46,10.35,41.0,2.24
162,geraldton,0,AU,1583983351,54,-28.77,114.6,80.6,9.17
163,ilulissat,13,GL,1583983352,65,69.22,-51.1,3.2,5.82
164,ust-kuyga,2,RU,1583983353,94,70.02,135.6,-18.72,9.17
165,ribeira grande,88,PT,1583983119,86,38.52,-28.7,54.97,9.64
166,henties bay,0,NA,1583983064,95,-22.12,14.28,61.0,1.99
167,ternate,98,ID,1583983357,80,0.8,127.4,82.99,4.07
168,san martin,36,AR,1583983358,78,-33.08,-68.47,73.4,4.7
169,iracoubo,0,GF,1583983321,73,5.48,-53.2,79.29,14.16
170,mugur-aksy,20,RU,1583983360,58,50.35,90.5,4.28,6.22
171,tuktoyaktuk,40,CA,1583983361,74,69.45,-133.04,-25.6,6.93
172,shepsi,0,RU,1583983362,84,44.04,39.15,50.92,2.57
173,paka,40,MY,1583983363,79,4.64,103.44,84.2,6.93
174,houma,1,US,1583983364,88,29.6,-90.72,68.0,6.26
175,tondano,40,ID,1583983365,62,1.3,124.91,89.6,9.17
176,kodinsk,100,RU,1583983367,91,58.69,99.18,22.75,14.43
177,kuryk,99,KZ,1583983368,83,43.2,51.65,49.24,4.25
178,talnakh,40,RU,1583983369,76,69.49,88.4,-7.6,22.37
179,lagos,20,NG,1583983339,94,6.58,3.75,77.0,2.24
180,nzega,100,RW,1583983371,94,-2.48,29.56,57.92,2.91
181,bose,40,IT,1583983372,69,45.46,8.01,50.0,2.24
182,grand gaube,40,MU,1583983373,94,-20.01,57.66,80.6,10.36
183,souillac,40,MU,1583983374,94,-20.52,57.52,80.6,5.41
184,boa vista,94,BR,1583983375,54,2.82,-60.67,84.2,12.75
185,ayagoz,0,KZ,1583983376,66,47.97,80.44,12.2,4.23
186,gat,75,IL,1583983377,77,31.61,34.76,69.01,4.7
187,hami,100,CN,1583983378,28,42.8,93.45,33.19,9.73
188,el vendrell,100,ES,1583983380,87,41.22,1.53,59.0,6.93
189,salalah,20,OM,1583983381,64,17.02,54.09,71.6,3.36
190,alekseyevsk,100,RU,1583983084,92,57.84,108.35,12.24,13.09
191,peleduy,100,RU,1583983383,94,59.63,112.74,0.86,12.5
192,isangel,40,VU,1583983384,70,-19.55,169.27,87.8,6.93
193,ouadda,95,CF,1583983385,32,8.08,22.4,70.41,5.06
194,puri,20,IN,1583983096,83,19.8,85.85,78.8,2.24
195,katsuura,40,JP,1583983388,30,35.13,140.3,57.2,8.05
196,beloha,0,MG,1583983391,82,-25.17,45.05,69.96,6.89
197,upernavik,98,GL,1583983392,93,72.79,-56.15,-20.33,5.64
198,topeka,1,US,1583983297,76,39.05,-95.68,55.99,3.36
199,marovoay,20,MG,1583983394,94,-16.1,46.63,77.0,3.36
200,petropavlovsk-kamchatskiy,75,RU,1583983395,55,53.05,158.65,35.6,17.9
201,los llanos de aridane,0,ES,1583983396,82,28.66,-17.92,68.0,10.29
202,mount isa,75,AU,1583983397,43,-20.73,139.5,87.8,10.29
203,ringebu,0,NO,1583983398,88,61.52,10.17,24.01,1.01
204,acapulco,5,MX,1583983147,83,16.86,-99.89,80.6,4.7
205,honiara,75,SB,1583983263,100,-9.43,159.95,77.0,3.36
206,hurghada,75,EG,1583983401,44,27.26,33.81,75.2,6.93
207,goderich,86,CA,1583983403,82,43.75,-81.72,35.01,10.0
208,bima,100,ID,1583983404,62,-8.47,118.72,86.32,2.3
209,coquimbo,75,CL,1583983405,88,-29.95,-71.34,62.6,6.93
210,codrington,69,AU,1583983406,55,-38.27,141.97,72.45,7.16
211,evensk,100,RU,1583983407,89,61.95,159.23,15.39,21.23
212,aragarcas,93,BR,1583983408,90,-15.9,-52.25,71.53,1.19
213,malanje,100,AO,1583983409,96,-9.54,16.34,63.68,3.06
214,constitucion,9,CL,1583983287,83,-35.33,-72.42,55.49,3.71
215,zeya,100,RU,1583983411,80,53.75,127.27,12.07,11.92
216,kutum,21,SD,1583983412,10,14.2,24.67,70.0,17.87
217,saint-georges,20,GD,1583983413,74,12.06,-61.75,78.8,11.41
218,walvis bay,0,NA,1583983414,95,-22.96,14.51,61.0,1.99
219,sai buri,20,TH,1583983416,74,6.7,101.62,86.0,8.05
220,maxixe,0,MZ,1583983417,76,-23.86,35.35,76.68,6.42
221,kanashevo,30,RU,1583983418,92,55.22,62.06,30.2,6.71
222,mar del plata,100,AR,1583983419,88,-38.0,-57.56,69.01,9.17
223,pemangkat,82,ID,1583983420,71,1.17,108.97,85.17,10.74
224,pisco,100,PE,1583983421,73,-13.7,-76.22,75.2,4.7
225,margate,34,GB,1583983282,81,51.38,1.39,50.0,24.16
226,chara,0,RU,1583983423,63,56.91,118.26,-20.47,2.01
227,ostrovnoy,96,RU,1583983424,94,68.05,39.51,25.56,11.52
228,tubuala,20,PA,1583983426,73,9.52,-79.03,77.0,5.82
229,poronaysk,40,RU,1583983427,65,49.22,143.12,24.37,13.09
230,la romana,75,DO,1583983431,94,18.43,-68.97,75.2,4.14
231,torbay,90,CA,1583983432,92,47.67,-52.73,32.0,6.93
232,mumford,86,GH,1583983433,90,5.26,-0.76,78.08,3.6
233,saskylakh,98,RU,1583983434,91,71.92,114.08,0.18,20.0
234,zambezi,95,ZM,1583983435,91,-13.54,23.1,65.82,2.08
235,quatre cocos,40,MU,1583983436,94,-20.21,57.76,80.6,9.55
236,bilma,0,NE,1583983437,36,18.69,12.92,54.7,22.12
237,presidencia roque saenz pena,0,AR,1583983438,34,-26.79,-60.44,80.31,6.69
238,edson,1,CA,1583983439,79,53.58,-116.44,26.6,9.17
239,portland,20,US,1583983175,49,45.52,-122.68,48.99,12.75
240,avera,1,US,1583983442,93,33.19,-82.53,68.0,2.1
241,oistins,20,BB,1583983444,73,13.07,-59.53,77.0,13.87
242,luderitz,0,NA,1583983291,88,-26.65,15.16,62.6,2.24
243,simpang,67,ID,1583983446,76,-1.27,104.08,85.19,5.53
244,ahar,0,IR,1583983447,54,38.48,47.07,37.87,4.47
245,sitka,75,US,1583983448,80,57.05,-135.33,35.6,9.17
246,port hardy,75,CA,1583983375,75,50.7,-127.42,41.0,4.7
247,chumikan,73,RU,1583983451,68,54.72,135.31,19.44,10.54
248,paamiut,100,GL,1583983452,88,61.99,-49.67,17.2,3.4
249,keti bandar,0,PK,1583983454,35,24.14,67.45,72.48,16.42
250,matara,0,LK,1583983455,64,5.95,80.54,81.48,7.49
251,vardo,100,NO,1583983456,84,70.37,31.11,28.22,13.58
252,cartagena,75,CO,1583983457,83,10.4,-75.51,78.8,14.99
253,rock sound,0,BS,1583983458,79,24.9,-76.2,72.68,18.99
254,kavaratti,20,IN,1583983459,74,10.57,72.64,82.4,4.7
255,ergani,75,TR,1583983460,93,38.27,39.76,39.2,5.82
256,pangnirtung,9,CA,1583983317,87,66.15,-65.71,-23.28,2.13
257,magdalena,20,PH,1583983462,52,14.2,121.43,90.0,13.87
258,north bend,1,US,1583983463,75,43.41,-124.22,48.99,23.04
259,sola,75,VU,1583983365,79,-13.88,167.55,87.8,7.58
260,guane,36,CU,1583983466,70,22.2,-84.09,74.77,10.78
261,freeport,1,US,1583983370,52,40.66,-73.58,48.2,3.56
262,kaputa,100,ZM,1583983469,95,-8.47,29.66,64.51,1.61
263,uruzgan,100,AF,1583983470,68,32.83,66.0,32.97,6.71
264,nikolskoye,90,RU,1583983471,86,59.7,30.79,37.4,8.95
265,takefu,20,JP,1583983472,48,35.9,136.17,51.8,9.17
266,rawson,0,AR,1583983473,73,-43.3,-65.1,64.87,0.89
267,airai,92,TL,1583983474,75,-8.93,125.41,79.05,3.02
268,lompoc,90,US,1583983284,93,34.64,-120.46,59.0,6.93
269,saint george,1,US,1583983263,77,37.1,-113.58,59.0,4.7
270,koindu,100,GN,1583983479,92,8.44,-10.33,74.43,3.6
271,porbandar,0,IN,1583983481,52,21.64,69.61,69.8,3.36
272,chimore,96,BO,1583983482,61,-16.98,-65.13,77.52,3.2
273,kingman,1,US,1583983483,77,35.19,-114.05,69.01,4.7
274,manggar,55,ID,1583983484,78,-2.88,108.27,82.51,13.6
275,comodoro rivadavia,0,AR,1583983434,42,-45.87,-67.5,66.2,17.22
276,husavik,90,IS,1583983253,92,66.04,-17.34,24.8,26.4
277,port macquarie,100,AU,1583983379,47,-31.43,152.92,75.99,6.93
278,sisimiut,0,GL,1583983489,90,66.94,-53.67,-6.77,5.44
279,mount gambier,75,AU,1583983490,24,-37.83,140.77,89.6,16.11
280,fare,100,PF,1583983491,69,-16.7,-151.02,83.75,6.06
281,sao filipe,0,CV,1583983118,62,14.9,-24.5,74.28,9.93
282,belaya gora,20,RU,1583983494,91,68.53,146.42,-16.65,4.29
283,tasiilaq,95,GL,1583983011,65,65.61,-37.64,6.8,3.36
284,olinda,40,BR,1583983496,74,-8.01,-34.86,84.2,8.05
285,ponta delgada,40,PT,1583983297,87,37.73,-25.67,59.0,11.41
286,hvolsvollur,100,IS,1583983498,80,63.75,-20.22,25.0,5.01
287,nagato,20,JP,1583983499,66,34.38,131.2,55.4,5.82
288,barcelos,20,PT,1583983500,100,41.54,-8.62,54.0,3.15
